#{"t_start": 1682366685.4354064, "env_id": null}
r,l,t,current_date,agent_id
114.416664,22,21.287664,2018-07-02,31
135.14,25,23.033219,2017-10-04,5
112.37334,25,23.033298,2017-07-18,9
67.67667,25,23.033315,2017-10-25,10
38.61333,27,24.557989,2018-02-22,2
41.893333,27,24.558069,2018-08-24,3
79.196655,29,26.0509,2018-03-20,23
123.25334,29,26.051,2018-04-06,26
69.10999,29,26.051023,2018-04-21,28
-18.873333,30,26.89444,2017-05-22,6
88.833336,30,26.894518,2018-08-28,15
62.429993,31,27.687599,2018-07-22,7
76.56666,31,27.687678,2017-06-09,20
77.28999,32,28.569497,2018-04-28,14
63.84,32,28.569574,2018-02-21,30
119.62665,33,29.388281,2018-04-11,1
28.766666,33,29.388363,2018-08-17,22
90.72667,34,30.22625,2018-04-10,25
-8.969998,34,30.226343,2017-09-06,29
36.126667,35,30.735306,2017-07-05,21
121.02333,37,31.826398,2017-06-16,11
157.17001,37,31.826481,2018-03-09,16
44.80666,38,32.56678,2017-11-27,4
35.803333,39,33.36534,2017-11-14,8
35.749996,39,33.36542,2018-08-26,13
108.93334,39,33.365438,2017-06-11,24
175.59004,40,34.163683,2017-11-15,17
29.906662,42,35.538454,2017-09-01,0
134.50334,42,35.538549,2017-12-13,18
35.313335,43,36.133808,2017-08-29,19
118.82333,43,36.133884,2017-07-15,27
86.45999,26,39.034626,2017-10-15,31
64.67333,54,42.291145,2017-09-10,12
81.479996,22,42.29124,2018-06-25,14
35.87333,31,43.679826,2018-06-16,5
137.23668,25,43.679899,2017-11-11,7
213.36,30,44.44772,2018-07-10,3
98.89669,29,45.418651,2018-07-19,26
65.63999,32,46.261837,2018-07-15,2
71.51999,27,47.038275,2018-04-07,1
121.57665,29,47.040314,2017-06-15,20
101.746666,31,47.792833,2017-07-12,6
86.25999,32,47.792943,2017-09-16,23
128.18335,27,47.792959,2018-03-27,25
68.58333,37,48.638674,2018-01-01,9
86.426674,28,48.638762,2018-07-25,29
16.003332,41,50.805704,2018-02-13,10
75.74666,37,50.805804,2017-12-22,28
74.52,30,52.173095,2018-04-12,4
96.253334,28,52.173169,2018-07-24,17
83.54003,36,52.173186,2017-07-07,30
82.84334,32,53.024022,2018-03-03,11
141.95001,39,53.024098,2017-12-22,15
137.47667,30,53.02413,2018-04-03,24
77.76001,33,54.716411,2018-06-21,8
49.329994,33,54.716506,2017-10-23,13
150.09332,30,55.413009,2017-06-09,19
150.03667,37,56.265136,2017-06-23,16
168.97668,39,56.265236,2017-09-15,21
78.97333,31,56.265268,2017-12-11,27
94.346664,33,56.853404,2017-07-26,18
80.74668,35,58.272771,2018-07-31,0
111.02334,44,58.272846,2017-09-18,22
119.45,24,60.513324,2017-09-30,3
86.08,27,61.828426,2018-04-14,5
84.12666,30,62.70711,2018-04-12,12
75.86334,31,63.51369,2017-11-30,14
71.80334,29,64.98683,2018-07-16,26
21.896664,39,64.986928,2018-07-26,31
99.826675,28,65.692249,2017-08-11,20
76.526665,27,65.692332,2017-07-24,23
32.713333,27,66.536038,2018-08-22,9
159.12332,34,67.343783,2018-07-20,7
160.05333,30,68.229156,2017-12-10,25
52.70333,29,68.229236,2017-06-02,29
54.39,32,69.685867,2018-04-24,6
116.0,27,70.96074,2017-08-04,30
68.83001,39,73.660635,2018-02-01,1
143.15666,33,73.660719,2017-06-04,10
63.586666,30,73.660736,2018-05-30,11
218.91669,31,74.338326,2017-05-27,15
116.96665,29,75.280585,2018-03-13,13
54.506664,28,76.056758,2018-02-25,16
37.196667,44,76.757006,2018-01-18,2
144.62999,35,76.757086,2017-12-13,17
91.560005,29,76.757103,2017-10-08,21
53.16,38,77.443097,2017-09-13,28
160.07335,38,78.728983,2017-07-01,4
127.22664,30,79.536788,2017-11-04,22
83.85001,33,79.536897,2018-08-22,27
74.12,28,80.772467,2018-06-06,3
113.11001,34,80.772546,2017-07-31,18
116.996666,28,82.010595,2018-02-10,5
130.96,38,82.010672,2018-07-14,19
102.75665,25,83.460288,2018-06-19,20
34.069996,26,83.460363,2018-06-20,31
49.81333,37,84.32144,2018-05-05,0
136.82333,30,84.321539,2018-06-12,12
112.77999,27,84.321559,2017-12-10,26
52.26,25,85.331148,2017-07-16,29
102.38667,46,86.612381,2017-09-08,8
77.29667,30,86.61246,2018-03-14,23
43.113327,49,86.612478,2017-09-18,24
123.483345,31,88.369739,2017-11-20,7
135.68669,32,88.369821,2017-12-05,9
120.479996,30,88.369842,2018-08-18,25
124.19667,41,91.235099,2018-07-14,14
59.866665,27,93.581453,2017-10-20,17
94.09333,26,95.067493,2018-05-29,4
210.22334,33,95.067587,2017-10-20,10
41.43,37,95.067607,2018-05-14,30
153.03003,30,95.632479,2017-11-11,2
156.44664,33,96.606269,2018-08-21,13
87.77333,34,96.606349,2018-07-02,15
42.476665,28,98.465524,2017-06-23,3
133.22668,38,98.465601,2018-07-17,11
157.80998,35,99.242551,2017-12-23,21
82.68999,30,100.162941,2018-06-20,18
107.86,41,100.959515,2018-03-23,1
75.26,38,100.959598,2017-06-16,16
39.4,28,102.097344,2018-02-16,0
155.92665,51,103.536205,2018-08-17,6
96.170006,34,104.056579,2017-06-07,19
99.439995,28,104.877312,2017-07-12,24
116.35333,42,104.877407,2018-02-26,28
189.87001,40,105.719075,2017-07-15,22
142.21333,33,105.71916,2018-01-13,26
86.31333,34,105.71918,2018-02-18,31
97.930016,27,106.560518,2018-01-21,7
47.010002,35,106.560612,2017-09-14,20
119.48002,32,107.870491,2017-12-21,23
109.51668,37,108.471435,2018-02-17,12
93.463326,41,109.06064,2017-08-02,5
158.44666,37,109.704763,2017-07-01,29
145.42,34,110.99888,2017-06-07,9
69.47333,25,110.998961,2018-05-20,17
-11.406662,50,112.074946,2017-09-06,27
142.30667,30,115.098891,2018-08-07,4
114.96999,37,115.887939,2018-01-12,14
90.39666,30,116.841834,2018-06-07,13
104.520004,24,116.841913,2018-06-24,16
70.02001,48,118.177775,2018-03-07,8
119.09334,45,118.177864,2017-05-29,25
146.37999,34,118.177884,2017-12-30,30
127.45333,34,118.881541,2017-07-20,2
36.816654,31,119.666078,2017-08-25,3
89.856674,29,120.357297,2018-02-23,1
116.96001,36,121.104476,2017-08-09,15
101.40999,31,121.104556,2018-06-25,18
39.05,33,121.927977,2018-04-25,21
57.26,25,122.825645,2018-06-18,31
98.17333,41,123.552331,2017-08-16,10
68.396675,27,123.552406,2018-04-03,28
117.90333,26,124.483184,2018-05-27,7
39.273335,31,125.410071,2018-05-04,6
178.51335,38,125.410146,2018-01-28,11
98.026665,31,126.587749,2017-09-21,24
120.38666,26,127.722272,2018-03-14,29
126.89,34,129.394073,2018-02-13,20
77.866646,32,130.044854,2017-06-14,12
125.79,36,130.044955,2018-03-25,22
51.679993,35,131.333124,2018-04-14,23
40.65,39,132.023263,2018-01-17,26
45.079998,45,132.77141,2017-09-05,0
116.50001,35,132.771487,2017-11-17,5
101.96001,33,133.735777,2018-07-01,9
98.666664,46,135.361116,2017-11-13,19
155.38002,28,136.082409,2017-06-20,13
110.006676,30,137.553137,2018-07-01,16
70.776665,26,138.370013,2017-07-19,1
133.66,28,138.370087,2018-06-13,2
60.32333,33,138.370104,2018-06-29,4
118.356674,32,138.370116,2017-09-21,14
135.23666,41,139.155036,2017-12-15,17
202.06,40,139.973578,2017-08-20,27
36.063335,31,139.97366,2018-04-12,30
82.166664,32,141.944046,2018-08-10,3
55.39,34,141.944155,2018-06-19,25
123.83334,29,143.348912,2017-07-20,28
83.02,30,143.34899,2018-04-10,31
103.683334,30,144.82127,2018-06-22,7
108.46001,41,146.487803,2017-10-01,8
65.38334,37,146.487881,2017-09-19,15
131.77667,35,147.455536,2018-07-08,10
35.96666,37,147.455618,2018-03-06,21
105.25334,26,148.248073,2018-01-02,12
88.32665,23,149.156205,2017-08-01,0
89.92,35,149.156298,2018-07-28,6
62.31666,40,149.156317,2017-08-29,18
69.83666,34,149.738906,2017-12-13,24
88.58,30,150.351162,2017-07-19,20
21.93,27,150.910711,2017-10-25,26
155.83,26,151.81179,2017-12-30,9
115.03333,40,152.443041,2017-11-27,11
66.98,21,153.106344,2017-06-07,1
91.87333,37,153.106425,2017-06-09,29
97.986664,30,153.783583,2018-04-23,5
114.40667,26,153.783659,2017-06-25,19
98.23666,24,155.137404,2017-10-15,4
86.663315,25,155.137506,2018-07-15,16
67.456665,35,155.868519,2017-11-22,23
114.479996,27,157.628649,2018-03-27,17
94.776665,26,157.628746,2017-12-15,30
186.43332,32,158.533054,2018-08-10,13
101.560005,41,158.533156,2017-08-15,22
157.87335,34,161.273474,2017-10-11,14
110.99666,17,161.273574,2017-11-19,20
56.969994,30,162.348855,2017-12-21,3
98.916664,26,162.34894,2018-08-18,7
104.96,28,162.348962,2018-06-10,28
44.29667,31,162.997413,2018-05-04,25
100.553345,30,163.720388,2018-04-08,31
59.82999,36,164.68263,2018-08-04,27
32.676666,41,166.206716,2017-08-26,2
141.01999,30,166.935864,2017-07-31,8
48.303333,32,168.887773,2018-07-12,10
70.583336,34,169.476925,2017-08-28,15
118.98333,27,170.295566,2017-10-19,11
167.76999,33,170.295646,2018-04-07,12
180.50002,35,172.269323,2017-11-26,0
118.953316,31,172.269404,2018-08-01,9
117.56333,35,172.269425,2017-08-02,18
75.99667,29,172.972387,2017-06-14,5
65.92999,38,172.972467,2017-06-08,21
78.04333,35,172.972484,2017-08-09,24
142.56668,37,174.003663,2018-04-07,6
50.80333,32,174.723557,2017-12-31,29
171.76668,36,175.330457,2017-06-15,26
121.50002,31,176.173987,2018-01-21,16
118.420006,36,177.377468,2018-03-25,1
72.17333,28,177.377547,2018-03-29,13
103.29334,36,178.269275,2017-09-22,19
77.99667,33,178.269359,2018-02-08,23
145.51665,31,179.298557,2017-07-09,22
68.723335,39,181.108044,2017-12-11,4
54.509995,28,181.108126,2018-06-15,7
108.966675,35,181.108145,2017-07-18,17
113.69332,29,181.108158,2017-06-08,20
54.65,27,181.108169,2017-06-26,25
133.53665,26,181.108179,2017-11-04,31
135.17334,25,183.518604,2018-01-06,8
110.51,32,183.518687,2018-08-01,28
46.306667,36,185.376887,2018-01-10,14
148.35335,42,185.376983,2018-02-28,30
19.649998,27,187.076288,2017-11-22,15
106.52667,35,187.076373,2018-06-30,27
66.76334,27,187.968726,2018-03-30,12
106.37333,40,188.573975,2017-11-01,3
84.189995,26,189.519713,2018-05-18,9
61.313328,19,189.519809,2017-06-28,13
92.63667,27,190.842875,2018-02-02,21
81.94332,34,191.711232,2018-08-18,10
53.59666,26,191.71131,2018-01-02,29
30.510006,29,192.60098,2017-07-20,5
120.33333,33,192.601063,2018-04-06,11
110.78001,40,193.319389,2017-08-14,2
27.799995,31,194.090203,2018-05-03,24
70.44333,28,194.090306,2017-10-20,26
124.04666,30,195.893248,2018-07-05,16
100.063324,29,196.544399,2017-10-14,1
107.25665,38,197.532993,2017-06-11,0
103.55668,27,198.886838,2018-05-06,4
31.196667,29,200.238731,2018-05-19,31
85.03667,41,201.221293,2018-08-19,6
94.87669,44,202.022783,2017-09-20,18
121.976685,25,202.508251,2017-08-17,14
160.50334,33,203.461332,2018-05-13,20
114.07665,29,203.461418,2017-09-16,28
110.869995,30,204.183728,2017-07-31,8
173.2,34,204.186256,2017-06-13,25
49.086662,35,205.029743,2017-09-25,7
99.24333,40,205.029829,2018-05-15,23
103.29667,28,205.029846,2018-05-24,30
117.11334,36,205.931034,2018-06-10,17
58.513332,24,206.700776,2018-05-04,13
29.369999,45,208.35008,2018-03-16,19
150.01334,29,209.120201,2017-07-29,3
129.08998,31,209.821548,2018-06-17,12
85.37665,30,210.584448,2018-07-17,9
58.560005,26,211.433712,2018-06-13,2
147.70663,47,211.433796,2017-06-22,22
121.24664,34,211.433815,2017-07-10,27
71.99335,31,212.831945,2018-04-21,21
96.02332,30,213.695948,2018-06-09,11
30.47,28,213.696027,2017-12-20,26
106.7,39,214.824124,2017-07-01,15
110.30667,33,215.657852,2017-12-16,5
80.91999,31,215.657955,2017-10-18,24
-3.3500006,34,215.657987,2018-04-23,29
59.59666,25,217.037149,2018-04-03,4
56.120003,40,219.488864,2018-01-11,10
62.483322,29,221.481436,2018-08-19,6
155.09335,26,221.48152,2018-07-10,20
121.93999,30,222.869122,2018-06-27,18
134.61667,27,223.684539,2018-02-03,23
105.35667,29,223.684617,2018-04-28,28
123.66667,40,224.46707,2017-11-25,1
109.69333,29,225.268886,2018-06-06,7
154.65338,32,225.268964,2017-06-13,14
107.396675,36,226.187633,2018-04-14,31
80.98001,33,227.472082,2018-02-24,8
43.05,24,227.472162,2017-09-21,9
41.343334,20,227.47218,2018-04-22,26
118.65334,34,228.308486,2018-03-19,25
144.40001,29,228.88641,2017-07-26,19
137.95334,28,229.500217,2017-06-08,12
83.67,48,229.500315,2017-10-30,16
56.086662,26,229.500334,2018-02-24,27
117.62,22,230.352212,2017-12-17,15
31.046669,35,230.352293,2018-05-08,17
139.63335,35,231.001501,2017-10-30,13
96.28333,37,231.001586,2017-05-29,30
14.406666,49,232.145574,2017-09-01,0
72.54001,37,234.421876,2018-06-03,3
61.513336,29,235.077424,2018-02-09,5
114.01333,36,235.816086,2018-06-02,22
36.876663,37,236.557158,2018-01-16,2
80.32666,35,236.557243,2018-05-04,21
102.33999,27,237.858236,2018-06-21,10
85.77667,37,240.187689,2018-01-27,29
88.70998,41,241.029074,2018-03-22,11
130.52333,27,241.781138,2017-09-16,28
141.11,38,242.770527,2018-07-07,4
111.91,31,242.770607,2018-07-25,20
111.50002,40,242.770624,2018-03-25,24
-6.3633366,33,244.88542,2017-10-31,18
82.450005,31,245.831919,2018-05-13,14
79.57334,30,245.832003,2018-05-13,31
85.13666,34,247.311902,2018-05-04,1
44.829998,28,248.504028,2017-07-28,17
85.78334,36,249.125234,2017-11-15,7
90.09334,33,249.125334,2017-09-17,26
23.486668,34,249.767515,2018-01-14,8
49.14,40,250.541728,2018-05-17,23
48.016663,44,251.364318,2018-03-08,6
118.493324,31,251.364401,2017-07-15,13
118.90334,33,251.364421,2017-05-31,27
72.759995,30,252.221129,2017-09-20,0
109.44,25,252.221206,2017-08-01,5
178.28667,34,252.221224,2017-08-20,16
94.47002,32,252.221237,2018-03-03,30
111.950005,35,252.719396,2017-05-31,12
97.259995,39,254.024956,2018-03-09,25
61.770004,26,255.257524,2018-01-27,10
116.140015,39,256.167006,2018-06-01,15
189.16663,45,257.336248,2018-05-23,9
115.476654,34,258.421124,2017-10-07,22
39.56333,38,259.740685,2017-09-19,3
105.22001,27,259.740791,2018-04-27,28
14.829999,36,260.512122,2017-09-19,2
52.820004,29,260.5122,2018-05-01,11
22.443335,50,261.63434,2017-09-18,19
34.353333,38,261.634418,2017-09-13,21
138.33667,33,262.338421,2018-07-18,29
118.96,31,263.187224,2018-07-17,20
98.15335,31,263.187306,2017-12-10,24
78.33333,21,264.947497,2017-11-22,27
70.09999,29,264.947624,2017-11-19,31
137.03333,28,265.873713,2018-08-15,1
67.06,26,266.398422,2017-10-15,7
93.19,37,267.263789,2018-08-29,4
44.089993,23,267.26387,2017-06-28,16
22.413334,33,268.184305,2018-08-06,14
100.97,30,269.961724,2017-10-02,8
80.85667,26,269.961822,2017-05-28,12
129.07999,32,269.961841,2018-04-07,17
164.41335,32,270.582683,2017-06-03,26
165.91333,39,271.249948,2017-10-30,18
35.833336,30,271.880152,2017-10-18,30
137.11998,31,272.726247,2018-08-31,0
50.696663,31,272.726319,2017-11-11,5
64.43001,33,272.726336,2017-08-27,23
24.466667,22,274.683987,2017-06-06,3
74.76999,31,274.684096,2018-02-25,25
112.626656,38,276.694921,2018-05-05,6
111.16001,31,276.695033,2018-07-17,15
112.246666,35,278.547809,2017-11-01,10
46.25333,41,278.547889,2018-05-25,13
48.73333,30,278.547907,2017-09-17,22
94.136665,34,279.555679,2017-06-28,9
35.916668,29,280.626067,2017-07-30,19
117.28668,33,281.762227,2017-11-24,11
88.71665,35,283.283574,2017-10-20,2
-1.9099996,26,283.283659,2017-06-27,7
110.05666,33,283.283678,2017-12-06,21
66.18333,31,283.283689,2018-08-26,24
45.11333,28,284.245029,2018-05-23,1
21.816666,26,285.10272,2018-05-03,14
82.84667,24,285.721193,2018-02-04,8
126.869995,35,286.25988,2017-08-27,20
53.119987,37,286.758075,2017-06-24,29
80.82335,34,287.675323,2018-01-02,27
83.28001,34,287.675415,2018-05-23,31
121.429955,43,288.28369,2017-09-02,28
82.13666,34,289.537924,2018-01-12,4
82.619995,34,289.538021,2018-02-02,16
27.31333,30,289.538039,2017-08-13,17
90.87333,32,291.292296,2018-03-18,26
72.51668,30,291.292373,2017-11-11,30
113.00666,24,293.782449,2017-12-29,22
60.329998,30,293.782531,2018-05-17,25
108.479996,28,294.499185,2017-12-16,6
148.5433,36,294.499279,2017-12-23,18
50.51,35,295.331496,2017-12-22,0
58.606667,33,296.07074,2017-07-26,3
123.056694,31,296.875942,2018-08-21,15
43.386673,31,298.424961,2017-06-26,13
72.26666,32,299.260327,2018-05-10,10
117.76001,28,299.260427,2017-11-11,19
35.913334,42,300.029811,2017-09-12,5
64.206665,27,300.029894,2017-10-09,11
128.01665,26,300.900233,2018-06-26,24
91.79664,33,301.661043,2017-07-21,9
93.196655,27,301.661124,2018-04-04,21
24.649994,49,302.356473,2017-09-04,12
96.533325,28,303.255935,2018-07-10,1
65.363335,46,303.256013,2018-08-28,23
105.00667,30,304.174371,2018-03-29,2
47.33666,30,304.174469,2017-10-09,7
122.210014,30,305.600188,2018-03-29,14
81.08,27,305.600267,2017-06-21,29
100.64666,29,306.107155,2017-08-23,20
29.113335,30,307.875075,2018-06-17,31
114.67668,34,308.541929,2017-08-25,8
121.46666,28,308.542011,2018-01-07,16
47.31666,26,309.298754,2017-10-09,30
128.97664,31,310.713788,2018-03-19,17
75.869995,33,310.713864,2017-12-08,28
120.013336,32,311.528506,2017-09-29,4
113.0,25,311.528615,2018-08-02,25
141.92667,35,311.528646,2018-03-12,27
89.51666,31,312.79006,2017-10-16,26
85.113335,29,315.239516,2018-04-17,0
82.670006,31,315.90435,2018-01-13,6
161.29669,32,315.904431,2018-06-18,22
123.10667,24,316.782187,2018-06-19,11
107.79333,31,317.64489,2018-06-24,3
131.57002,26,318.364835,2018-03-29,5
61.93333,31,318.364912,2017-10-08,15
61.213333,23,319.774106,2018-07-02,2
111.60333,27,319.774235,2018-03-13,24
90.32333,31,320.995883,2018-01-04,10
125.41333,29,321.697973,2017-09-23,21
68.71999,24,321.69805,2017-07-12,29
29.056664,40,322.427508,2018-01-30,18
81.106674,33,324.329663,2018-05-07,9
31.21,28,324.329787,2018-05-24,14
56.0,34,326.316132,2018-04-30,1
102.61,39,326.316212,2017-09-10,19
88.66999,24,327.351455,2017-08-02,4
129.62001,32,327.351536,2017-08-03,20
122.579994,30,328.657082,2018-01-27,8
70.78333,44,328.657163,2017-11-12,13
105.493355,38,329.63065,2018-01-01,7
52.84,40,329.63075,2018-01-24,12
58.370003,30,329.630769,2018-05-17,30
103.61001,29,330.566101,2018-07-28,17
55.983334,40,330.566186,2017-09-19,23
96.26333,34,331.873121,2017-09-15,16
163.4267,35,331.8732,2017-11-18,31
117.216675,33,333.561131,2018-05-09,27
106.4,29,334.83676,2018-08-23,0
142.04337,28,335.577042,2018-04-01,11
174.44336,28,336.448674,2018-03-27,3
64.67334,30,336.448764,2017-10-26,6
158.59665,38,336.448785,2018-02-25,28
104.950005,36,337.339278,2018-03-21,26
68.54,40,338.40661,2017-11-01,25
42.906666,31,339.242556,2018-04-24,15
114.81334,28,340.525263,2018-03-18,21
53.43667,33,341.894249,2018-06-23,24
112.04,34,342.573503,2017-12-03,2
122.083336,39,342.573581,2017-06-25,22
80.16333,31,342.573598,2018-02-11,29
141.16331,39,344.128903,2017-07-11,5
69.68,26,344.924589,2017-06-23,4
91.55334,24,344.92469,2017-08-01,8
63.756653,31,344.924717,2017-06-19,9
108.786674,36,344.924729,2018-03-07,10
66.513336,34,344.924741,2017-11-06,18
20.23333,34,346.681507,2018-05-26,14
74.43667,26,347.547579,2018-06-19,23
150.68333,34,348.865348,2018-04-07,1
20.326668,27,349.64249,2018-08-11,16
108.41333,33,351.437507,2017-12-04,12
46.506668,34,351.437587,2018-05-07,13
76.183334,36,353.404665,2018-08-29,30
42.969997,33,353.404758,2017-07-04,31
39.256668,29,354.094116,2017-08-17,0
144.66335,38,354.988029,2018-04-25,7
83.65666,29,354.988125,2017-12-05,11
150.49335,41,354.988144,2017-09-14,20
123.62334,29,355.835099,2017-05-28,6
131.56332,38,355.835179,2018-04-16,17
-78.05666,44,355.835199,2017-09-07,19
60.67667,33,355.835213,2017-08-18,27
36.580006,30,356.596368,2018-03-26,28
91.09333,29,357.802873,2017-08-24,25
64.943344,31,357.802951,2018-06-29,26
